tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,time
-15.4,-22.3,-8.5,6.4,370,345,18.9,54,1020.9,,01-01-2019
-19.3,-27.4,-11.2,0.4,370,152,11.1,,1023.2,,02-01-2019
-6.1,-11.3,-0.8,4,390,214,13.8,46,1008.6,,03-01-2019
-0.5,-1.7,0.8,0,400,234,14.5,41,1003.7,,04-01-2019
-3.3,-5.8,-0.8,0.4,370,,7.8,,1006.1,,05-01-2019
-10.8,-19.2,-2.3,0.8,320,6,19,45,1024.9,,06-01-2019
-11.2,-16.9,-5.4,10.8,320,119,22.6,50,1021.4,,07-01-2019
-2.5,-6.7,1.7,1.8,400,208,11.6,32,1002.7,,08-01-2019
-7.9,-13.6,-2.2,1.5,390,320,24.3,63,1008.6,,09-01-2019
-18.1,-22.6,-13.6,0.2,400,341,23,54,1022.9,,10-01-2019
-19,-23.7,-14.3,0,390,297,11.8,,1031,,11-01-2019
-19.1,-24.1,-14,0,390,14,10.2,,1036.8,,12-01-2019
-19.9,-25.5,-14.2,0,390,47,8.9,,1035.1,,13-01-2019
-11.6,-19,-4.1,0.2,390,231,11.1,,1023.8,,14-01-2019
-5,-8.1,-1.9,0.9,400,139,17.5,50,1014.8,,15-01-2019
-13.5,-24.9,-2,1.8,410,304,17.7,63,1017.9,,16-01-2019
-18.4,-26.1,-10.7,2.8,410,174,12.1,,1023.5,,17-01-2019
-19.6,-28.9,-10.3,0.6,460,342,13.9,46,1019.8,,18-01-2019
-28.1,-31,-23.9,0,460,36,18.7,33,1030.2,,19-01-2019
-27.1,-30.9,-23.2,0,460,6,29.1,54,1025.2,,20-01-2019
-23.6,-31.3,-15.9,0,460,322,12.4,,1032,,21-01-2019
-16.1,-23,-9,2.8,290,158,18.2,41,1028.5,,22-01-2019
-9.3,-11.6,-6.9,17.6,340,58,15.1,37,1008.3,,23-01-2019
-10.4,-12.5,-8.2,1.4,480,16,12.3,,1004.5,,24-01-2019
-21,-29.5,-12.5,3.4,530,350,15.8,46,1011.1,,25-01-2019
-25.3,-34.6,-16,2.4,480,99,11.1,,1019.8,,26-01-2019
-24,-34.1,-13.8,3.4,560,291,16.6,37,1012,,27-01-2019
-30.2,-37.1,-23.3,4,560,30,19.1,50,1021.7,,28-01-2019
-19.3,-23.4,-15.1,5.6,630,88,17.3,41,1004.8,,29-01-2019
-23.4,-30.3,-16.5,0.8,660,237,16.3,39,1004.3,,30-01-2019
-24.8,-32,-17.6,0,660,265,11.9,33,1018.9,,31-01-2019
-20,-26.5,-13.4,0,660,236,13.9,48,1025.2,,01-02-2019
-9.7,-14.6,-4.7,9.4,750,250,19.2,39,1015.5,,02-02-2019
-11.3,-15.3,-7.3,0.6,700,56,13.1,,1012.6,,03-02-2019
-9.8,-12.8,-6.8,7.2,670,33,20.3,39,1009.9,,04-02-2019
-15.9,-18.8,-12.9,0.6,660,9,19,35,1020.8,,05-02-2019
-16,-17.6,-14.4,3.6,660,40,20.5,39,1022.9,,06-02-2019
-8.1,-16.9,0.7,8.2,690,49,19.8,46,1014.7,,07-02-2019
-7.6,-16.2,1,1.8,660,257,29.9,78,1008.2,,08-02-2019
-16,-22.1,-9.9,0,630,261,14.8,33,1037.3,,09-02-2019
-11.6,-15.7,-7.4,0,620,240,7.9,31,1034,,10-02-2019
-14.6,-19.5,-9.7,0,600,39,17.1,32,1032.4,,11-02-2019
-15.2,-19.4,-10.9,10,600,60,28.5,58,1019.4,,12-02-2019
-11.5,-15.7,-7.2,4.6,770,340,18.1,35,997.8,,13-02-2019
-11.8,-18.4,-5.1,4.8,800,101,13,32,1009.8,,14-02-2019
-6.5,-11.2,-1.7,11.4,940,52,21.7,50,996.3,,15-02-2019
-13.8,-17.8,-9.7,0,1020,340,15.6,48,1017.7,,16-02-2019
-17.4,-24.4,-10.4,0,1020,32,10.9,,1022.4,,17-02-2019
-15.9,-20.1,-11.7,0,1020,359,15.9,39,1025.3,,18-02-2019
-17,-24.5,-9.4,0,1020,249,11.9,,1034.9,,19-02-2019
-11.7,-17.1,-6.3,5.6,1020,136,15.4,41,1024.2,,20-02-2019
-4.7,-8,-1.3,3,990,277,15,41,1011.2,,21-02-2019
-5.2,-8.1,-2.3,0.2,1020,273,8.1,,1029.1,,22-02-2019
-4.3,-7.1,-1.4,0,980,139,11.4,37,1025.7,,23-02-2019
-2.3,-5.9,1.4,8.8,950,152,29.1,68,987.7,,24-02-2019
-13.3,-20.6,-5.9,0,970,302,29.9,80,1010.1,,25-02-2019
-19.7,-25.1,-14.3,0,970,288,11.1,35,1032.2,,26-02-2019
-17,-21,-12.9,0.6,970,152,6.8,,1026.8,,27-02-2019
-15,-22.2,-7.8,0.2,950,222,13.7,35,1023.4,,28-02-2019
-9.3,-15.7,-2.9,0,950,199,13.2,33,1022.2,,01-03-2019
-8.8,-13.3,-4.3,2.2,930,,9.4,,1020.7,,02-03-2019
-13.2,-17.5,-8.8,0.6,980,271,9.9,,1018.4,,03-03-2019
-18.7,-24.4,-13,0,980,260,11.6,37,1014.7,,04-03-2019
-17.1,-21.8,-12.3,1.8,980,234,9.4,,1012,,05-03-2019
-19.1,-25.8,-12.3,0,1000,266,10.5,,1019,,06-03-2019
-16.2,-23.6,-8.7,0,1000,266,15.4,39,1022.5,,07-03-2019
-11.3,-19.6,-3,0,1000,230,18.1,46,1021.2,,08-03-2019
-8.6,-17,-0.2,0,680,102,16.8,48,1023.2,,09-03-2019
-2.3,-5.3,0.7,13.6,700,154,29.1,55,1000.5,,10-03-2019
-4.4,-7.8,-0.9,6.3,730,286,19.7,48,1013.1,,11-03-2019
-5.9,-11.3,-0.5,0,740,239,15.7,45,1023.3,,12-03-2019
-2.8,-6.1,0.5,5.5,730,,,41,,,13-03-2019
2.8,-0.4,6,9.4,700,145,21.3,54,1007.3,,14-03-2019
-1.2,-8.3,5.9,3.3,630,226,27.5,59,996.9,,15-03-2019
-8.5,-10.6,-6.4,0,640,307,19,39,,,16-03-2019
-6.8,-11.3,-2.2,0,640,292,13,37,1022,,17-03-2019
-9.3,-16.1,-2.5,0,640,149,9.7,,1025.3,,18-03-2019
-2.3,-7.1,2.5,0,600,228,15.4,39,1026.2,,19-03-2019
0.6,-3.5,4.7,0.4,600,194,20.5,41,1018.1,,20-03-2019
1.1,-0.2,2.4,0.2,600,211,14.1,35,1011.8,,21-03-2019
-6,-11.9,0,0,500,347,28.8,71,1011.1,,22-03-2019
-6.6,-15.1,1.9,0,500,270,20.5,48,1019.4,,23-03-2019
-4.9,-9.2,-0.5,0,500,325,15.5,42,1018.9,,24-03-2019
-6.5,-13.7,0.7,0,670,304,15.9,46,1023.2,,25-03-2019
-5.7,-13.4,2,0,660,267,12.8,37,1028.7,,26-03-2019
-1.7,-8.2,4.8,0.8,460,198,23.9,63,1024.5,,27-03-2019
2.6,-3.1,8.3,0,650,228,22.9,48,1012.1,,28-03-2019
-1.9,-5.1,1.4,0,400,65,10.9,,1020.1,,29-03-2019
-1.8,-5,2,0,390,57,10.1,35,1013.1,,30-03-2019
-5.9,-9.6,-2.1,0,620,351,21.2,46,1015.3,,31-03-2019
-5.5,-12.2,1.2,0,380,238,20.5,50,1021.1,,01-04-2019
-0.9,-3,1.2,6.8,400,190,24.6,42,1013.6,,02-04-2019
-2.9,-7.3,1.5,1.2,410,257,28.5,71,1011.8,,03-04-2019
-4.8,-10.4,0.8,0,350,280,13.3,41,1030.6,,04-04-2019
-3.4,-7.5,0.8,0.7,340,186,15.7,37,1024.1,,05-04-2019
2.5,-1,6,0,320,236,11.1,,1021.4,,06-04-2019
1.7,0.7,2.6,14.6,320,76,17.1,39,1021.2,,07-04-2019
2.9,0.3,5.5,8,280,80,15.7,39,1007.7,,08-04-2019
-0.4,-2.9,2.1,2.4,280,17,16.5,35,1005.9,,09-04-2019
-2.9,-6.3,0.6,0,250,24,20.6,45,1019.3,,10-04-2019
-3.6,-7.9,0.7,0,200,37,17.9,41,1026,,11-04-2019
3.5,-0.3,7.2,6,180,120,21.9,55,1010.2,,12-04-2019
1.3,-0.7,3.2,0,160,225,22,55,1011.8,,13-04-2019
1,-2.5,4.5,3.2,300,17,18.8,54,1013.6,,14-04-2019
1.6,-2.6,5.7,0.2,210,356,26.2,55,1006.5,,15-04-2019
2.1,-4.6,8.8,0,470,,5.7,,1017.5,,16-04-2019
