tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,time
-15.4,-22.3,-8.5,6.4,370.0,345.0,18.9,54.0,1020.9,2019-01-01
-19.3,-27.4,-11.2,0.4,370.0,152.0,11.1,45.0360435875943,1023.2,2019-01-02
-6.1,-11.3,-0.8,4.0,390.0,214.0,13.8,46.0,1008.6,2019-01-03
-0.5,-1.7,0.8,0.0,400.0,234.0,14.5,41.0,1003.7,2019-01-04
-3.3,-5.8,-0.8,0.4,370.0,187.14823008849558,7.8,45.0360435875943,1006.1,2019-01-05
-10.8,-19.2,-2.3,0.8,320.0,6.0,19.0,45.0,1024.9,2019-01-06
-11.2,-16.9,-5.4,10.8,320.0,119.0,22.6,50.0,1021.4,2019-01-07
-2.5,-6.7,1.7,1.8,400.0,208.0,11.6,32.0,1002.7,2019-01-08
-7.9,-13.6,-2.2,1.5,390.0,320.0,24.3,63.0,1008.6,2019-01-09
-18.1,-22.6,-13.6,0.2,400.0,341.0,23.0,54.0,1022.9,2019-01-10
-19.0,-23.7,-14.3,0.0,390.0,297.0,11.8,45.0360435875943,1031.0,2019-01-11
-19.1,-24.1,-14.0,0.0,390.0,14.0,10.2,45.0360435875943,1036.8,2019-01-12
-19.9,-25.5,-14.2,0.0,390.0,47.0,8.9,45.0360435875943,1035.1,2019-01-13
-11.6,-19.0,-4.1,0.2,390.0,231.0,11.1,45.0360435875943,1023.8,2019-01-14
-5.0,-8.1,-1.9,0.9,400.0,139.0,17.5,50.0,1014.8,2019-01-15
-13.5,-24.9,-2.0,1.8,410.0,304.0,17.7,63.0,1017.9,2019-01-16
-18.4,-26.1,-10.7,2.8,410.0,174.0,12.1,45.0360435875943,1023.5,2019-01-17
-19.6,-28.9,-10.3,0.6,460.0,342.0,13.9,46.0,1019.8,2019-01-18
-28.1,-31.0,-23.9,0.0,460.0,36.0,18.7,33.0,1030.2,2019-01-19
-27.1,-30.9,-23.2,0.0,460.0,6.0,29.1,54.0,1025.2,2019-01-20
-23.6,-31.3,-15.9,0.0,460.0,322.0,12.4,45.0360435875943,1032.0,2019-01-21
-16.1,-23.0,-9.0,2.8,290.0,158.0,18.2,41.0,1028.5,2019-01-22
